ID_SA,NAME_SA,COUNTRY_SA,THEME_SA,CLASSIFICATION_SA,imageUrl
177,葉國珍,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/ebda3712-581c-4c69-90de-4feacc825fd7/d4a6bf30296bad960eca5b7f09155498.JPG
178,姜佳宏,臺南市,花式扯鈴表演,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/c6883a0a-03bf-4392-b2ac-b3b8ad6d57f7/55e0a53ac442daa8ae587bfa9a158ae8.JPG
179,王培儒,臺南市,吉他彈奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/d8cfdaa4-6803-4e20-8e31-354890dfe2f4/3c0c111b1508045697c22323a84eed4c.JPG
180,陳怡佑,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/95cbbefd-8a61-4a34-8ca6-3f3d33e64359/b1cdfd1972d946dd5803341501be1ee4.JPG
181,賀春桂,屏東縣,捏麵人,表演藝術,
182,許黎鵬,屏東縣,薩克斯風演奏,表演藝術,
183,吳旻鴻,屏東縣,吉他演奏,表演藝術,
184,黃碧梅,屏東縣,皮雕、編織,表演藝術,
185,何進丁,屏東縣,草編創意與教學,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2019-05-23/1a505525-58a2-4acc-969a-8872cba24f31/d0d49747c5fbb84aa2a7bbe29a86cd6b.jpg
186,黃元國,屏東縣,月琴、嗩吶,表演藝術,
187,廖基宏,屏東縣,薩克斯風演奏,表演藝術,
188,謝信驊,屏東縣,爵士鼓,表演藝術,
189,蕭世彥,屏東縣,吹糖,表演藝術,
190,李尚軒,屏東縣,電子琴演奏,表演藝術,
191,林彩琴,屏東縣,傳統手工編織工藝,表演藝術,
192,顏淑香,屏東縣,打包帶系列、編織,表演藝術,
193,洪進財,屏東縣,劊作瓦雕、漂流木,表演藝術,
194,劉泊彤,屏東縣,打包帶系列、編織,表演藝術,
195,楊癸陽,屏東縣,吉他及電子琴自彈自唱,表演藝術,
196,沈家文,屏東縣,薩克斯風演奏,表演藝術,
197,黃泓銘,屏東縣,創意編繩、串?,表演藝術,
198,劉雅萍,屏東縣,環保素材創作,表演藝術,
199,洪建聲,屏東縣,小提琴、薩克斯風演奏,表演藝術,
200,王弘原,屏東縣,口琴演奏、歌唱,表演藝術,
201,葉清義,屏東縣,各式樂器演奏,表演藝術,
202,葉志皇,屏東縣,氣球教學,表演藝術,
203,張弘銘,屏東縣,薩克斯風演奏,表演藝術,
204,陳泰華,屏東縣,薩克斯風演奏,表演藝術,
205,邱冠登,屏東縣,薩克斯風演奏,表演藝術,
206,黃振翔,屏東縣,樂團,表演藝術,
207,楊聰榮,屏東縣,二胡演奏,表演藝術,
208,王錫鏞,屏東縣,薩克斯風演奏,表演藝術,
209,王為騰,屏東縣,主持,表演藝術,
210,陳義明,屏東縣,陶笛演奏,表演藝術,
211,陳國芳,桃園市,客家八音歌謠演奏,表演藝術,
212,謝文山,桃園市,薩克斯風演奏,表演藝術,
213,吳柏毅,桃園市,薩克斯風演奏,表演藝術,
214,蘇福寶,桃園市,洞簫笛子演奏,表演藝術,
215,梁志新,桃園市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-12-13/ef84df24-4b77-4149-a100-244b3ba6375e/3e17b81db0c8e4b5672187547192bcc3.jpg
216,陳宏志,桃園市,葉笛吹奏奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-12-13/fe409519-26fd-4768-b627-3f16a037d7a1/b6415c6c31ee5b5e93866aeb6f9902b2.JPG
217,趙仲榮,桃園市,默劇、魔術、氣球秀,表演藝術,
218,張世明,桃園市,小丑與氣球,表演藝術,
219,徐滄鈦,桃園市,人像素寫,視覺藝術,
220,李新孔,桃園市,吉他彈唱,表演藝術,
221,鍾昭安,桃園市,葉笛吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-12-13/bb4f3c5a-71dc-489f-bb60-d8943f4d34b5/f3c5d03d3dd416473907f7bb40241bcd.jpg
222,殷培生,桃園市,中國竹笛吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-11-08/44a8df81-85dc-4aab-a0fe-3ba2e14b7d28/478ea3349ae95a59c74c84755813a2d6.JPG
223,邱壬俊,桃園市,造型氣球,創意工藝,
224,蘇國標,桃園市,鄉土童玩+樂器演奏,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-12-13/01f18cb6-6a15-43ac-a877-4104ee083c29/e2aa4136587de442f3ca16558a39ff9b.jpg
225,鄭澤泉,桃園市,薩克斯風演奏,表演藝術,
226,張狂瀾,桃園市,薩克斯風演奏,表演藝術,
227,游祥發,桃園市,尺八洞簫演奏,表演藝術,
228,劉壁惟,桃園市,葫蘆絲吹奏,表演藝術,
229,康健益,桃園市,吉他彈唱,表演藝術,
